comp_id,CHEMBL286,smiles
CHEMBL1644461,1,CC(C)[C@H](C[C@H](O)[C@H](COCc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C
CHEMBL339114,1,CC(C)(C)OC(=O)NC(Cc1ccccc1)C(=O)N[C@H]1CCC(=O)OCCOC(=O)[C@H](O)[C@H](CC2CCCCC2)NC1=O
CHEMBL3401538,1,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)C(C)C)ccc1OC
CHEMBL1825183,1,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccncc2n1-c1ccccc1
CHEMBL584509,0,NC1=N[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCN12
CHEMBL424543,1,CC(C)C[C@H](NC(=O)CC(O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)NCc1ccccc1
CHEMBL3287407,0,COc1cc2c(c(O)c1C)C(=O)[C@@]1(O)c3cccc(OC)c3OC[C@@H]1O2
CHEMBL1221454,0,CC(C)C[C@@H](CC(=O)NCc1cccc(F)c1)n1c(N)nc2cc(Cl)ccc21
CHEMBL316208,1,COc1ccc(C[C@H](NS(=O)(=O)N2CCOCC2)C(=O)N[C@@H](Cc2csc(N)n2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)cc1
CHEMBL1164306,0,Cc1ccc(CNC(=O)c2ccc(N3CC4CC(C3)c3cccc(=O)n3C4)c(NS(=O)(=O)c3ccc4c(c3)OCCO4)c2)cc1
CHEMBL1824937,1,Cc1cccc(C)c1Sc1c(C(=O)N2CCNCC2)c2ncccc2n1-c1ccccc1
CHEMBL3984816,1,C[C@@H](c1ccc2ccccc2c1)N(C(=O)[C@H]1CNCCO1)C1CC1
CHEMBL1091852,1,CC(CN)(Cc1ccc(CCCOc2c(F)ccc(F)c2Cl)cc1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1
CHEMBL1818046,1,COCCCC[C@@](O)(c1ccccc1Oc1ccccc1C)[C@@H]1CCCN(C(=O)[C@@H]2CC[C@H](N)C2)C1
CHEMBL500555,0,CCn1cnc2c(N3CCCC3=O)cc(C(=O)N[C@@H](Cc3ccccc3)[C@H](O)CNCc3cccc(C(F)(F)F)c3)cc21
CHEMBL295336,1,CC(C)CC(NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1CCCN1C(=O)OCc1ccccc1)P(=O)(O)O
CHEMBL327710,1,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H]1CCC(=O)NCCCOC(=O)[C@H](O)[C@H](CC2CCCCC2)NC1=O
